nhom_loi,dieu_kien_gom_don,tinh_trang_thanh_toan,tinh_trang_giao_hang,tinh_trang_thuc_hien_nvgh,tinh_trang_ghi_doanh_so_ke_toan,comment_review_sale_ke_toan,so_luong_uoc_tinh,vi_du_don,loi_goc_co_the_cung_loai,huong_kiem_chung,huong_xu_ly_fix,owner_chinh,uu_tien,ghi_chu
G1 - Có thông báo NVGH nhưng đơn vẫn treo 'Đang giao hàng',Discovery bắt đơn đang overdue hoặc đã thanh toán nhưng trạng thái giao hàng vẫn 'Đang giao hàng'; comment review nói Sale đã gửi/làm NVGH cho Kế toán,Có thể đã thanh toán hoặc không tùy nguồn; nhóm paid có 60/60 đã thanh toán,Đang giao hàng,"Có NVGH theo comment; NVGH chỉ là thông báo Sale gửi Kế toán, không tự thay đổi data đơn hàng",Có thể đã ghi hoặc chưa ghi doanh số tùy đơn,đã làm NVGH -> KT check thêm tại sao bị treo 'Đang giao hàng',43 dòng comment: 18 trong overdue + 25 trong paid; có trùng giữa hai file,DH-0002721; DH-0002782; DH-0002786; DH-0003500; DH-0003357; DH-0003973; DH-0004078; DH-0003828; DH-0001700; DH-0001702,"Sau khi Sale gửi thông báo NVGH, dữ liệu nguồn vẫn chưa được Kế toán/Ops cập nhật hoặc chưa có chứng từ đủ để đóng trạng thái giao hàng; không phải lỗi sync từ NVGH sang đơn hàng","Check nội dung/thời điểm NVGH như bằng chứng Sale đã báo Kế toán; check phiếu xuất/kho, hóa đơn/MISA và delivery_status trên CRM để xác định dữ liệu nguồn nào chưa cập nhật",Không kỳ vọng NVGH tự đổi trạng thái. Nếu chứng từ giao hàng/hóa đơn đủ: Kế toán/Ops cập nhật trực tiếp trạng thái/chứng từ trên hệ thống nguồn; nếu thiếu chứng từ thì xử lý chứng từ trước rồi re-run audit,Kế toán + Ops/CRM admin,P0,"NVGH là comment/thông báo nghiệp vụ, không phải trigger cập nhật data; không coi comment là kết luận cuối"
G2 - Đã thanh toán nhưng chưa giao/chưa hoàn tất giao,Discovery paid_but_not_delivered: đơn đã thanh toán nhưng delivery_status rỗng/Chưa giao hàng/Đang giao hàng,Đã thanh toán,Chưa giao hàng hoặc rỗng hoặc đang giao,Đang thực hiện hoặc chưa thực hiện; nếu có NVGH thì chỉ là thông báo cho Kế toán,Không phải trọng tâm; cần đối soát nếu có ghi doanh số,đơn chưa giao hàng thực tế; chưa hoàn tất giao hàng; dự kiến giao T07/2026,Ít nhất 14 đơn comment chưa giao thực tế + các đơn chưa hoàn tất đơn lẻ,DH-0002029; DH-0002031; DH-0002032; DH-0003679; DH-0003788; DH-0004200; DH-0004264; DH-0004083; DH-0005097; DH-0005147; DH-0005249; DH-0005760; DH-0058451; DH-0058536,Đơn đã thu tiền nhưng vận hành chưa giao xong; có rủi ro SLA và ghi nhận doanh thu sai thời điểm,Check số ngày từ duyệt/ghi nhận; check lịch giao dự kiến; check tồn kho; check có thông báo NVGH hay chưa nhưng không coi NVGH là cập nhật data,Tạo danh sách follow-up giao hàng; yêu cầu owner cập nhật ngày giao dự kiến/trạng thái thực tế trên hệ thống nguồn; nếu quá hạn thì escalate; chỉ đóng lỗi khi chứng từ giao hàng và trạng thái dữ liệu nguồn đã đúng,Sale/Ops,P0,Nhóm này nên theo dõi hàng ngày vì ảnh hưởng khách hàng
G3 - Overdue delivery nhưng comment nói chưa giao thực tế,Discovery overdue_delivery: quá hạn giao theo delivery_due_at; review comment chưa giao thực tế,Có thể chưa thanh toán hoặc đã thanh toán tùy đơn,Chưa giao,Đang thực hiện hoặc chưa thực hiện; NVGH nếu có chỉ là thông báo Sale -> Kế toán,Có thể chưa ghi doanh số hoặc đã ghi doanh số,đơn chưa giao hàng thực tế; chưa giao hàng; chưa giao hàng xong,Khoảng 10 dòng trong overdue CSV; Excel KT note có nhiều comment 'chưa giao hàng',DH-0003526; DH-0005233; DH-0004014; DH-0005263; DH-0005365; DH-0005317; DH-0005451; DH-0005760; DH-0005315; DH-0005737,Không phải lỗi đồng bộ trạng thái mà là đơn vận hành quá hạn thực tế,Check ngày hẹn giao; lý do trễ; tồn kho; liên hệ khách; trách nhiệm owner,Cập nhật lại ngày giao dự kiến hoặc trạng thái delay có lý do trên hệ thống nguồn; gửi thông báo NVGH/nhắc Kế toán khi cần nhưng không xem NVGH là thao tác đổi data; báo cáo riêng các đơn quá hạn nhiều ngày,Sale/Ops,P1,Tách khỏi nhóm G1 để không fix nhầm bằng cập nhật trạng thái
"G4 - Chưa có thông báo NVGH tại thời điểm discovery, sau review đã bổ sung",Discovery/comment chỉ ra tại thời điểm kiểm tra chưa có NVGH; review nói Sale đã bổ sung thông báo NVGH cho Kế toán,Có thể đã thanh toán hoặc chưa,Chưa giao/đang giao tùy đơn,Trước đó chưa có thông báo NVGH; comment nói đã bổ sung thông báo. NVGH không thay đổi data đơn hàng,Không phải trọng tâm,chưa làm NVGH -> đã bổ sung; chưa làm NVGH -> Đã bổ sung NVGH; bị sót NVGH -> đã báo/bổ sung,16 dòng: 8 overdue + 8 paid; thêm vài note Excel tương tự,DH-0002702; DH-0005243; DH-0005244; DH-0005366; DH-0005578; DH-0058436; DH-0058616; DH-0058749; DH-0005802; DH-0058503; DH-0058466; DH-0058603; DH-0058625; DH-0058727; DH-0058729; DH-0058741,Thiếu bước thông báo từ Sale sang Kế toán nên Kế toán chưa có tín hiệu xử lý; bản thân NVGH không phải task cập nhật trạng thái/chứng từ,"Check thông báo NVGH đã được gửi đúng order_id/ngày/người nhận; sau đó check riêng dữ liệu nguồn: phiếu xuất, hóa đơn, delivery_status, accounting status",Nếu đã gửi NVGH hợp lệ: đánh dấu đã thông báo và chuyển Kế toán/Ops kiểm tra chứng từ; nếu dữ liệu vẫn sai thì cập nhật trực tiếp trên CRM/MISA/kho. Thêm cảnh báo khi đơn đủ điều kiện giao nhưng Sale chưa gửi NVGH,Sale/Ops + Kế toán,P1,Cần cột final_status tách riêng: NVGH_sent vs Data_fixed
G5 - Chờ hàng/preorder/thiếu tồn kho,"Review comment cho biết đơn chưa giao vì chờ hàng, preorder, thiếu linh kiện hoặc không có tồn",Thường đã thanh toán với nhóm paid; overdue có thể chưa,Chưa giao hoặc giao một phần,Đang thực hiện,Có thể chưa xuất hóa đơn/ghi doanh số do chưa đủ hàng,chờ hàng về; linh kiện pre-order; chưa có tồn kho; mã còn lại chưa xuất,7 overdue chờ hàng + nhiều paid đơn lẻ thiếu mã,DH-0005581; DH-0005640; DH-0058570; DH-0058671; DH-0058676; DH-0005545; DH-0005761; DH-0005268; DH-0005536,Không phải lỗi dữ liệu đơn thuần; là trạng thái vận hành thiếu hàng nhưng CRM chưa có trạng thái ngoại lệ rõ,Check tồn kho từng SKU; PO/hàng về dự kiến; số lượng đã giao một phần; trao đổi Sale với khách,Thêm trạng thái 'Chờ hàng/Preorder' và ngày ETA; tách khỏi lỗi overdue thường; chỉ cảnh báo nếu quá ETA; cập nhật khách hàng và kế hoạch giao phần còn lại,Kho/Ops + Sale,P1,Nên tạo report riêng cho đơn chờ hàng để không lẫn với lỗi sync
"G6 - Giao một phần, còn thiếu SKU/mã hàng cụ thể",Comment nêu cụ thể mã hàng còn thiếu hoặc giao một phần; discovery vẫn xem đơn chưa giao xong,Đã thanh toán trong nhóm paid,Đang giao hàng hoặc chưa hoàn tất,Có thể đã có thông báo NVGH cho phần đã giao; thông báo này không đổi line/order data,Có thể chưa ghi đủ doanh số/xuất hóa đơn đủ,chưa hoàn thành giao hàng xong - mã ...; chưa hoàn tất giao hàng mã ...; còn mã hàng chưa xuất,Nhiều case đơn lẻ trong paid CSV,"DH-0002163 thiếu CHRFH00055; DH-0002076 thiếu CLGBD00008, ACCBD00022; DH-0004054 thiếu USMUS10392; DH-0004100 thiếu SPANH00042; DH-0005044 thiếu USMUS10402; DH-0005239 thiếu LTLFL00044; DH-0005262 thiếu CHRCA00030; DH-0005536 thiếu USMUS10464",Order-level status không phản ánh line-level fulfillment; thiếu đối soát theo từng SKU,Đối chiếu order lines vs warehouse issue lines vs invoice lines; xác định SKU đã giao/chưa giao,Xử lý giao phần còn lại theo SKU; cập nhật line-level fulfillment/chứng từ trên hệ thống nguồn; nếu khách đổi/hủy SKU thì điều chỉnh đơn hoặc ghi chú ngoại lệ; NVGH chỉ dùng làm dấu hiệu Sale đã báo Kế toán,Kho/Ops + Kế toán,P1,Đây là nhóm cần bảng phụ theo SKU
G7 - Đơn hủy/từ chối/hoàn tiền nhưng vẫn nằm trong danh sách lỗi,Discovery vẫn bắt các đơn có trạng thái chưa giao/chưa ghi; comment nói đơn hủy/từ chối/hoàn tiền/cancel,Có thể đã hoàn tiền hoặc chưa hoàn tiền,Không cần giao nếu đã hủy/từ chối,Có thể đang thực hiện do chưa đóng workflow,Từ chối ghi doanh số hoặc chưa ghi,đơn hàng từ chối; đơn đã hủy; đơn hàng hủy; đã hoàn tiền cho khách -> cancel,Khoảng 10+ dòng: 6 từ chối trong overdue + các case đơn lẻ,DH-0003181; DH-0003263; DH-0005021; DH-0004468; DH-0005475; DH-0005510; DH-0003992; DH-0004185; DH-0002484; DH-0005660,Trạng thái hủy/từ chối chưa đóng đầy đủ trên CRM/MISA nên audit vẫn coi là lỗi giao/ghi,Check order cancel status; refund evidence; trạng thái từ chối ghi doanh số ở CRM và MISA; task còn mở không,"Chuẩn hóa đóng đơn hủy: set order cancelled/rejected, đóng task, cập nhật refund/cấn trừ; loại khỏi rule giao hàng nếu đã hủy hợp lệ; nếu chưa hoàn tiền thì mở issue tài chính riêng",Sale + Kế toán,P0,Cần phân biệt hủy hợp lệ vs hủy nhưng chưa hoàn tiền
G9 - Hóa đơn/ghi doanh số khớp nhưng trạng thái giao hàng vẫn lỗi,"Kế toán note trong Excel nói hóa đơn đã xuất khớp hoặc KT theo dõi, nhưng discovery vẫn bắt lỗi giao/overdue",Không cố định,Đang giao/chưa giao theo CRM,Có thể đã có task/phiếu xuất,Đã ghi doanh số hoặc hóa đơn khớp theo comment,"Check lại hệ thống, hóa đơn đã xuất khớp với giá trị DH; ok, đơn này KT theo dõi",Ít nhất 5 note hóa đơn khớp trong Excel final,DH-0002782; các dòng có KT note tương tự trong Check DH 15.06 final.xlsx,MISA/hóa đơn đúng nhưng CRM delivery_status/order_status chưa được cập nhật; hoặc chỉ mới có thông báo/chứng từ kế toán chứ chưa xác nhận giao thực tế,Check CRM delivery vs MISA invoice/export; nếu invoice đúng nhưng chưa giao thì vẫn là vận hành; nếu đã giao thì lỗi sync CRM,Cập nhật CRM delivery_status nếu giao thật và có chứng từ; nếu chỉ xuất hóa đơn/chưa giao thì giữ issue giao hàng; bổ sung rule phân biệt 'invoice ok but delivery open',Kế toán + CRM admin,P1,Không tự loại khỏi lỗi nếu chưa kiểm chứng giao hàng
G10 - Lệch mã hàng/phiếu xuất/hóa đơn/MISA không khớp,Review Excel ver 3 có comment về mã trên đơn khác mã xuất kho hoặc CRM có xuất kho nhưng MISA không thấy phiếu xuất,Có thể đã thanh toán,Có thể đã giao/xuất kho nhưng không khớp hệ thống,Có thể có thông báo NVGH/phiếu xuất CRM; NVGH không đồng bộ sang MISA hay đổi mã hàng,MISA thiếu phiếu hoặc mã không khớp,Trên DH là mã ... xuất kho ra mã ...; CRM có xuất kho nhưng Misa không tìm thấy phiếu xuất,Một số case cụ thể trong Excel ver 3,DH-0001700; DH-0001702; DH-0001848,"Sai mapping SKU, thay thế mã hàng không được ghi nhận, hoặc thiếu đồng bộ chứng từ CRM -> MISA","Đối chiếu từng dòng hàng: order line, warehouse slip, invoice/MISA item code; kiểm tra mã thay thế/bundle; dùng NVGH chỉ như bằng chứng Sale đã báo",Sửa mapping mã hàng; bổ sung phiếu xuất còn thiếu trên MISA; ghi chú mã thay thế hợp lệ; thêm audit rule line-level mismatch,Kế toán + Kho + Data,P1,Nên tạo bảng đối soát line item riêng
G11 - Đơn đặc biệt: voucher/quà tặng/bảo hành/TK cá nhân/không xuất hóa đơn,Kế toán note nêu lý do nghiệp vụ đặc biệt khiến không xuất hóa đơn/không ghi doanh số như đơn thường,Có thể đã thanh toán hoặc không; có case TK cá nhân,Có thể có giao hàng hoặc không cần giao,Có thể có/không thông báo NVGH tùy loại; NVGH không quyết định ngoại lệ kế toán,Có thể không xuất hóa đơn hợp lệ theo nghiệp vụ,Đơn bán Voucher; DH tặng; DH bảo hành; thanh toán TK cá nhân; không xuất hóa đơn,Nhiều note rải rác trong Excel final/ver3,DH-0005307; các dòng note voucher/quà tặng/TK cá nhân trong Check DH 15.06 final.xlsx,Rule audit hiện chưa nhận diện ngoại lệ nghiệp vụ nên bắt như lỗi chuẩn,Xác nhận chính sách kế toán cho từng loại; kiểm tra có field phân loại đơn không,Thêm mã loại ngoại lệ: voucher/gift/warranty/personal-transfer; thiết lập rule loại trừ hoặc chuyển sang nhóm kiểm tra riêng; bắt buộc nhập reason code,Kế toán + Sale admin,P2,Không nên xóa khỏi audit nếu chưa có reason code chuẩn
